"","theta","P-value","theta","P-value","theta","P-value","theta","P-value"
"1",-0.62,0.008,-0.136,0.631,0.044,0.881,0.172,0.593
"2",-0.285,0.229,0.065,0.834,0.124,0.659,-0.237,0.475
"3",-0.211,0.378,-0.298,0.278,0.149,0.603,0.138,0.664
"4",-0.328,0.166,-0.577,0.03,0.12,0.663,-0.33,0.298
"5",-0.403,0.097,-0.205,0.449,0.067,0.827,-0.08,0.808
"6",0.107,0.68,-0.333,0.227,0.15,0.602,-0.338,0.262
"7",-0.101,0.669,-0.371,0.149,-0.095,0.74,-0.212,0.5
"8",0.383,0.159,-0.373,0.171,0.3,0.297,0.913,0.018
"9",-0.036,0.896,-0.021,0.941,0.234,0.437,0.534,0.155
"10",-0.366,0.116,-0.246,0.317,0.054,0.835,-0.033,0.915
"11",-0.361,0.144,-0.073,0.798,0.409,0.142,0.498,0.128
"12",-0.418,0.072,-0.144,0.562,-0.077,0.768,0.812,0.025
"13",-0.71,0.006,-0.259,0.363,0.453,0.065,0.518,0.095
"14",0.5,0.079,-0.183,0.516,0.246,0.34,-0.239,0.464
"15",-0.423,0.062,-0.465,0.095,-0.026,0.923,0.037,0.898
"16",-0.135,0.557,-0.183,0.515,-0.097,0.737,0.103,0.737
"17",-0.341,0.162,-0.016,0.955,0.419,0.175,-0.477,0.16
"18",0.112,0.716,0.243,0.425,0.543,0.084,0.462,0.163
"19",19,19,-0.266,0.356,-0.167,0.547,0.065,0.833
"20",-0.067,0.787,-0.316,0.295,0.012,0.964,0.219,0.491
"21",0.434,0.151,0.013,0.964,0.321,0.283,-0.106,0.752
"22",-0.028,0.925,-0.139,0.635,-0.162,0.606,-0.304,0.351
"23",-0.405,0.129,-0.389,0.214,-0.234,0.418,0.082,0.81
"24",0.265,0.27,-0.618,0.021,0.594,0.041,0.306,0.323
"25",-0.06,0.796,-0.202,0.445,0.355,0.225,0.097,0.761
"26",-0.113,0.65,-0.558,0.031,0.876,0.014,0.13,0.67
"27",-0.245,0.245,-0.489,0.055,0.069,0.801,-0.033,0.923
"28",-0.268,0.238,-0.3,0.274,0.672,0.035,-0.567,0.089
