"","station","2013","2014","2015","2016","2017"
"1","1",5.255,2.507,1.4735,4.9271,3.1419
"2","2",7.728,5.8575,1.8533,2.5037,2.7146
"3","3",5.8733,4.0534,1.5886,2.6645,3.6572
"4","4",5.1005,4.4986,2.8664,3.2617,5.1024
"5","5",5.1005,6.8416,2.5786,2.9861,2.2622
"6","6",5.1005,3.7723,3.1311,2.3429,4.3861
"7","7",5.5641,2.4602,1.9224,2.5037,2.0108
"8","8",5.1005,2.9873,4.1096,8.1658,6.1581
"9","9",33.8485,4.5455,8.0465,6.9714,19.1404
"10","10",6.0278,3.7605,2.9815,5.1108,3.3178
"11","11",6.3369,3.0459,2.5095,3.7901,3.6697
"12","12",5.1005,3.4325,2.003,2.6301,2.6015
"13","13",7.5734,1.9916,1.7728,5.1453,2.4884
"14","14",4.9459,3.0928,1.7037,6.9484,3.9713
"15","15",6.1824,4.0886,2.5095,3.1584,2.7649
"16","16",6.1824,8.0951,2.2793,3.8704,14.792
"17","17",7.2643,3.4442,1.508,4.6859,1.9857
"18","18",5.5641,4.3112,4.1671,2.32,2.8654
"19","19",31.221,4.5923,2.9124,3.6867,2.237
"20","20",6.4915,4.1237,2.97,3.032,3.3807
"21","21",10.0464,5.7404,1.98,2.8253,3.6572
"22","22",5.1005,3.1631,2.6246,3.6407,3.1168
"23","23",6.1824,1.8158,3.9945,3.1699,3.8457
"24","24",5.5641,6.455,12.1906,4.2839,4.0845
"25","25",12.5193,2.3782,3.0851,4.0083,4.8259
"26","26",5.255,8.7277,4.5931,3.4685,5.6177
"27","27",10.2009,7.3805,2.8548,9.567,27.7492
"28","28",5.8733,5.2366,4.3168,4.3988,25.3236
"x","us",2.6882,1.5068,1.6324,0.8424,1.3352
